,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
RP11-855A2.2,14.710839057088492,-0.30335801133903356,0.24554241376337224,-1.2354607364549972,0.2166590805168429,0.3474522508314085,False
RP11-91J19.2,13.208450762658293,-0.27390835175030853,0.22170162981842245,-1.2354819041007696,0.216651207133854,0.3474522508314085,False
CLCA3P,4.39426965190562,0.49720687227424554,0.40248168148310476,1.2353528002618352,0.21669923097913413,0.3474988690686054,False
ZZEF1,2069.953889365276,0.07872117475817987,0.06373028795237115,1.2352238988314657,0.21674718717466246,0.3475579991715199,False
GAPLINC,3.428346939324655,0.37640450441970824,0.30481003511003224,1.2348822580064707,0.21687432739347423,0.34774408973613624,False
FRRS1L,1.4776487323427532,-0.5448052328534162,0.44120410513222413,-1.23481451445277,0.21689954425013158,0.34776674204632785,False
FDX1P1,2.34423207645649,-0.4762172699797733,0.38569174111990767,-1.2347095340880585,0.2169386263027474,0.34779384084935117,False
CCDC106,59.057039449464504,-0.10731302877791796,0.08691302457774429,-1.2347174580482552,0.21693567619691712,0.34779384084935117,False
HLA-J,2.346927859699342,-0.5142953506200175,0.4167263038953559,-1.23413220094972,0.21715364622344668,0.3481141864698284,False
GLP2R,1.4764953827463807,0.5992085209775301,0.485537644534024,1.2341134157632563,0.217160645086392,0.3481141864698284,False
MIR26A2,3.230540634071622,0.3592403117671789,0.29114131428165796,1.2339035861452496,0.21723883307338032,0.34822172383874495,False
RNU7-169P,1.4932119760717844,0.608679727224112,0.49340823059281513,1.2336229707656106,0.21734342932456296,0.348371579024702,False
WASH1,101.79657212018307,0.20728877317395342,0.16803783823138052,1.2335839079798572,0.21735799241342424,0.34837711551083433,False
TSPAN3,1753.3870260007802,-0.09650815486898728,0.07824570300348925,-1.2333987831214661,0.21742701879035964,0.34845468639978544,False
RP11-428G5.7,1.2856452626065002,0.6159342336359253,0.4993813655013202,1.2333945080581847,0.2174286129933355,0.34845468639978544,False
AC073569.1,3.8984161322611213,-0.385062766667001,0.31221261396269456,-1.2333350718270824,0.2174507780779692,0.34847240025167936,False
XLOC_011075,4.252596167540803,-0.34036312347628156,0.2759768321521267,-1.2333032480373685,0.21746264654064174,0.34847361244325625,False
MED31,72.25815784958809,0.09725767031169429,0.07886430882824451,1.2332279551642042,0.21749072835272265,0.34848370589443084,False
HM13-IT1,7.388105034459275,0.314884657455612,0.25533394575359347,1.2332267710282718,0.21749117001804208,0.34848370589443084,False
MRFAP1L1,1008.656965410368,-0.0787436344692442,0.06385947842833453,-1.2330766928767392,0.2175471521864909,0.3485382081714567,False
MMGT1,862.522468001542,-0.07954619313627813,0.06451037375045601,-1.23307599245952,0.21754741348048767,0.3485382081714567,False
RP11-18F14.4,0.9965128722493954,0.7087027925683492,0.5747679726471364,1.2330241528670536,0.21756675311510398,0.34855138583344375,False
COX7A2L,863.8593183433966,-0.09011860056042485,0.0730931145148666,-1.2329287260306223,0.21760235693884855,0.3485906167553275,False
RNU6-1185P,1.715046018630429,-0.6280311693248617,0.5094329598740412,-1.2328043507042499,0.21764876775396846,0.3486471551700695,False
RP11-793H13.11,13.7520095189936,-0.18285194504345137,0.14834624173771066,-1.2326024771611663,0.21772411227975108,0.3487322213132945,False
AMZ2,571.0849866090894,-0.08871152338495288,0.07197005427956625,-1.232617152689016,0.2177186343540708,0.3487322213132945,False
NUCB1-AS1,1.28087460550145,0.5887844901775009,0.4777391977814611,1.2324391486227528,0.2177850845159437,0.34881206590500485,False
RP11-38G5.4,2.7145665248985145,-0.44269954903292047,0.35922098875095165,-1.2323877582215683,0.21780427162393956,0.34882498126381417,False
SUMO1P3,4.228259683882792,0.3689517729867892,0.29942556881023696,1.2321986210222913,0.21787489831047602,0.3489202742833484,False
CTB-147N14.6,1.7284717816197297,-0.5046513700485019,0.4095954813564302,-1.2320726009410101,0.21792196525007734,0.34897782925202603,False
DGCR6,215.50784731138316,-0.13935149137262695,0.11311543340598426,-1.2319405688212188,0.21797128545138122,0.34903898650711374,False
EYA2,39.99396702405819,-0.21845051747603508,0.17734808150060544,-1.2317613792472255,0.21803823401082034,0.34911480515947374,False
DAP3P1,1.150164884908655,0.5898099288910514,0.47883734071706585,1.2317542487555428,0.2180408984009392,0.34911480515947374,False
KRT8P29,4.686011579040188,-0.37999171366853396,0.3085293132042812,-1.2316227256401293,0.21809004772047047,0.34917417228580905,False
