,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
SPRY2,319.28766861471803,-0.3609860245928447,0.07584366561795992,-4.759606773375185,1.939704915379141e-06,0.0005659243991573579,False
MOB2,619.8931225376389,0.2860605336073729,0.06047142512465535,4.730507558201081,2.239591879305706e-06,0.0006405921880007952,False
IL36A,13.673251134471666,3.641290928564366,0.7708167148353628,4.723938724320608,2.3132014162651135e-06,0.0006491947146399432,True
KREMEN2,107.31811846669443,0.8397758158105505,0.17785680157884534,4.721640152953448,2.3395033283603808e-06,0.0006491947146399432,False
PLA2G2F,536.9072437179972,0.6170991294402364,0.1310742872689445,4.70801056635954,2.501461378005542e-06,0.0006839289697041036,False
C10orf99,391.0250640210418,1.2481069702140148,0.26592118549115085,4.693522134796396,2.6854091902806727e-06,0.0007235815603724386,True
TYK2,624.7215274352551,0.41728544026316905,0.08911285365360957,4.6826627490260675,2.8317219708771045e-06,0.000752105355464959,False
RP11-327F22.6,24.484437975641463,0.7880798115575639,0.16907334270679175,4.661171293716348,3.1441490450653406e-06,0.0008080161140033593,False
ZMYND15,18.860817838589373,0.7411471848007558,0.15914770651713656,4.656976848868075,3.208865129988874e-06,0.0008080161140033593,False
PPP1R3B,694.960840263399,-0.39598724965828447,0.08494442885342303,-4.6617212571007505,3.135757075868801e-06,0.0008080161140033593,False
EFNA5,729.7189794270816,-0.33090534458451587,0.07106287764200542,-4.656514843819342,3.2160710217431467e-06,0.0008080161140033593,False
RASSF9,427.10021791773397,-0.5191328252916406,0.111627414962421,-4.650585391289452,3.309941599613767e-06,0.000820512456266922,False
TMCC1,681.3624248557602,-0.17982074928293662,0.03898777439214339,-4.612234273089801,3.983636416114632e-06,0.0009672410108094976,False
FAT1,7426.493699377801,0.5802474794773016,0.12591100422165633,4.608393706842509,4.057917321597505e-06,0.0009672410108094976,False
ZNF667-AS1,51.55492266536605,-0.7414997269948674,0.1608673974768819,-4.609384739387157,4.038623552613417e-06,0.0009672410108094976,False
LINC01605,48.934886252426374,1.267106906284637,0.2755483309511842,4.598492402079242,4.2555923176486734e-06,0.0010015186375914448,True
ZNF585B,186.7301751933152,-0.3669932037320787,0.07991569018689026,-4.592254698343105,4.384827635277129e-06,0.0010190339424384048,False
LGALS3BP,735.107524793905,0.6462673586657959,0.1409898085894021,4.5837877583612405,4.566277405024343e-06,0.001048101598940896,False
G19167,16.13421558013309,1.9371596522283636,0.42285893561717175,4.58110137699003,4.6253354742327165e-06,0.001048710208987008,True
FAM234B,666.1742303937026,-0.4408151475713511,0.09632171235843834,-4.576487863203287,4.728471277845675e-06,0.0010591775662374312,False
TMPRSS4,248.42732694043133,1.3125857825426739,0.2870426994175232,4.572789293043222,4.8127405931632595e-06,0.001065219917953468,True
UBA7,242.40629729378196,0.5687538629178321,0.12502888396319325,4.548979762830365,5.390662624536382e-06,0.0011790964648868284,False
IL4I1,18.12435718183627,1.4475721476662478,0.3186648186968075,4.542616764493023,5.556020349047761e-06,0.0012011340735987902,True
ZNF681,351.7487444195476,-0.45313958912550045,0.10071756321455637,-4.499111919141524,6.823792758212439e-06,0.0014061750334547452,False
TTC7B,135.12213572472066,0.4887428056561674,0.10874563092559703,4.494367281666348,6.977710566061547e-06,0.0014061750334547452,False
RTP4,37.37192837730897,1.091200584814795,0.24288518662582756,4.492660091682843,7.0339005008224675e-06,0.0014061750334547452,True
TPCN2,352.34284066936095,0.32836414030920635,0.07307987927322242,4.493222260008905,7.015349842234927e-06,0.0014061750334547452,False
HRH1,379.14621835749017,0.69052697076251,0.1536994281417883,4.492710084291896,7.032248925697119e-06,0.0014061750334547452,False
ARHGAP30,371.03808660215134,0.4750197970571987,0.10569853210135192,4.494100226498065,6.986471922390712e-06,0.0014061750334547452,False
MICALL2,178.88925046144135,0.7117480664411292,0.15805412747838973,4.503191898854046,6.694038761314929e-06,0.0014061750334547452,False
CD164L2,51.25376439263416,0.7344313568597994,0.16356702604514325,4.4900942116359195,7.119167851590244e-06,0.0014080805180507001,False
NHEG1,12.355291448066248,-0.8144473012556772,0.181519406874685,-4.486833200253595,7.22896250745119e-06,0.0014147460098792898,False
QTRT1,206.28113253430783,0.45623793905231047,0.10186386357942223,4.4788988265361285,7.502908196819244e-06,0.0014530632207839934,False
TMEM259,681.6331864924678,0.376450763182958,0.08411634361460266,4.475358140954737,7.628333426149884e-06,0.0014621234542162747,False
CYTH2,538.4902712897666,0.2941018321949296,0.06581369454327722,4.468702664937561,7.869543030963902e-06,0.0014929647350171518,False
NLRC5,986.1421057854201,0.5372493569255461,0.12036517923918871,4.463494843952573,8.063353962536933e-06,0.0015142815845604711,False
C1orf116,2528.78759393766,-0.2739012558140324,0.06148374118481604,-4.454856691148697,8.39492511285208e-06,0.0015607844769814586,False
SPTLC3,2518.522027495012,-0.3415573397209747,0.07697307510622772,-4.437361236375238,9.106839180689306e-06,0.0016763797430433226,False
